id,original_title,poster_path,overview,genre
672,Harry Potter and the Chamber of Secrets,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,"Ignoring threats to his life, Harry returns to Hogwarts to investigate – aided by Ron and Hermione – a mysterious series of attacks.",Adventure Fantasy
293167,Kong: Skull Island,/r2517Vz9EhDhj88qwbDVj8DCRZN.jpg,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",Action Adventure Fantasy
121,The Lord of the Rings: The Two Towers,/wf3v0Pn09jnT5HSaYal7Ami3bdA.jpg,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",Adventure Fantasy Action
122,The Lord of the Rings: The Return of the King,/uexxR7Kw1qYbZk0RYaF9Rx5ykbj.jpg,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",Adventure Fantasy Action
463906,The Saint,/n8tsrPLem70exhXHfSausV7FlPx.jpg,"International master thief, Simon Templar, also known as The Saint, is asked by a desperate rich man to find his kidnapped daughter. However, in addition to evading the authorities, Simon must face a dangerous adversary from his past.",Action Adventure Crime
417830,Diary of a Wimpy Kid: The Long Haul,/mSBUClLuB70a2unFvW4m48OG9VF.jpg,A Heffley family road trip to attend Meemaw's 90th birthday party goes hilariously off course thanks to Greg's newest scheme to get to a video gaming convention.,Comedy Family
559,Spider-Man 3,/sqZKCRYGovZ8aN99VVJSdL8Ja9k.jpg,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",Fantasy Action Adventure
50619,The Twilight Saga: Breaking Dawn - Part 1,/p2hlGr02imEs9zeBDAkpZ4PBk6s.jpg,"The new found married bliss of Bella Swan and vampire Edward Cullen is cut short when a series of betrayals and misfortunes threatens to destroy their world. Bella soon discovers she is pregnant, and during a nearly fatal childbirth, Edward finally fulfills her wish to become immortal. But the arrival of their remarkable daughter, Renesmee, sets in motion a perilous chain of events that pits the Cullens and their allies against the Volturi, the fearsome council of vampire leaders, setting the stage for an all-out battle.",Adventure Fantasy Romance
141052,Justice League,/9rtrRGeRnL0JKtu9IMBWsmlmmZz.jpg,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry, and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",Action Adventure Fantasy Science Fiction
339967,Colossal,/4VOyofBd1pexblxtDZYtYIk7NI4.jpg,A woman discovers that severe catastrophic events are somehow connected to the mental breakdown from which she's suffering.,Drama Fantasy Science Fiction
